TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,BOROUGH
Multi-family home for sale,1100000,6,3,2837,Bronx
Multi-family home for sale,925000,5,2,2750,Bronx
Multi-family home for sale,700000,6,2,3053,Bronx
Autre_Type,119000,3,2,2184,Bronx
Multi-family home for sale,600000,2,2,2184,Bronx
House for sale,245000,3,1,2184,Bronx
House for sale,400000,7,3,2385,Bronx
House for sale,688888,4,2,2846,Bronx
Co-op for sale,259000,3,2,1089,Bronx
House for sale,1249000,3,2,2184,Bronx
Co-op for sale,69900,2,1,700,Bronx
House for sale,499000,5,2,1760,Bronx
Multi-family home for sale,1050000,5,4,3132,Bronx
Townhouse for sale,650000,3,2,1638,Bronx
Multi-family home for sale,425000,5,2,2184,Bronx
House for sale,549000,5,3,496,Bronx
House for sale,888000,4,2,2686,Bronx
House for sale,1300000,3,2,2184,Bronx
House for sale,1300000,3,2,2184,Bronx
Multi-family home for sale,999000,6,2,3144,Bronx
House for sale,999000,6,2,1280,Bronx
Multi-family home for sale,899000,6,3,3683,Bronx
Condo for sale,200000,1,1,613,Bronx
Multi-family home for sale,650000,6,2,2310,Bronx
Multi-family home for sale,899000,8,2,2160,Bronx
Multi-family home for sale,875000,6,3,2860,Bronx
Multi-family home for sale,850000,5,2,1908,Bronx
Multi-family home for sale,875000,7,5,2680,Bronx
Multi-family home for sale,799000,7,2,2296,Bronx
Multi-family home for sale,799000,7,2,2296,Bronx
Co-op for sale,400000,2,2,1150,Bronx
Multi-family home for sale,699999,6,2,2184,Bronx
Multi-family home for sale,799000,5,3,2400,Bronx
House for sale,769000,4,2,1728,Bronx
House for sale,499999,2,1,1744,Bronx
Autre_Type,289000,3,2,2184,Bronx
Autre_Type,450000,3,2,2184,Bronx
Autre_Type,2000000,3,2,2184,Bronx
Autre_Type,795000,3,2,2184,Bronx
Autre_Type,1245000,3,2,2184,Bronx
Co-op for sale,215000,2,2,747,Bronx
House for sale,275000,2,1,1104,Bronx
Co-op for sale,159000,2,1,1010,Bronx
House for sale,729000,3,2,1400,Bronx
House for sale,599000,4,2,1500,Bronx
Multi-family home for sale,849000,4,2,2180,Bronx
Autre_Type,1395000,3,2,2184,Bronx
House for sale,5500000,8,6,9000,Bronx
Multi-family home for sale,425000,3,2,1700,Bronx
House for sale,569000,3,3,1780,Bronx
Autre_Type,560000,4,2,2318,Bronx
Multi-family home for sale,925000,4,2,2160,Bronx
House for sale,609000,3,2,1620,Bronx
Multi-family home for sale,1375000,14,8,6000,Bronx
House for sale,700000,3,2,1620,Bronx
Multi-family home for sale,689000,6,3,2184,Bronx
Multi-family home for sale,800000,6,3,2202,Bronx
Multi-family home for sale,899975,6,3,1952,Bronx
Multi-family home for sale,865000,6,3,2464,Bronx
House for sale,499000,2,2,1350,Bronx
Multi-family home for sale,650000,6,2,2184,Bronx
Multi-family home for sale,1599999,6,2,4073,Bronx
Condo for sale,435000,3,2,1034,Bronx
House for sale,1290000,3,2,2905,Bronx
Townhouse for sale,650000,3,2,1912,Bronx
Multi-family home for sale,879000,4,2,1998,Bronx
Multi-family home for sale,999000,7,3,3036,Bronx
House for sale,889000,3,2,2184,Bronx
Co-op for sale,249000,2,1,800,Bronx
House for sale,579000,4,2,2184,Bronx
Multi-family home for sale,999000,4,3,2270,Bronx
Multi-family home for sale,749000,4,2,1420,Bronx
Multi-family home for sale,7200000,3,2,48000,Bronx
Co-op for sale,295000,1,1,2184,Bronx
House for sale,560000,3,2,2184,Bronx
Co-op for sale,295000,1,1,2184,Bronx
Condo for sale,469888,2,2,1164,Bronx
House for sale,465000,2,2,988,Bronx
Multi-family home for sale,699000,3,2,2034,Bronx
House for sale,575000,5,3,2076,Bronx
House for sale,639000,3,2,1224,Bronx
Multi-family home for sale,674999,5,2,2600,Bronx
House for sale,1250000,6,3,2400,Bronx
Multi-family home for sale,1195000,11,6,2184,Bronx
House for sale,529000,3,2,1650,Bronx
Multi-family home for sale,869000,6,3,1526,Bronx
House for sale,749000,3,2,1480,Bronx
House for sale,1200000,4,4,3300,Bronx
House for sale,1200000,4,4,3300,Bronx
Multi-family home for sale,899999,5,3,1800,Bronx
House for sale,1299000,3,4,4450,Bronx
House for sale,995000,3,2,3080,Bronx
Multi-family home for sale,749999,6,3,3150,Bronx
House for sale,535000,3,3,1328,Bronx
House for sale,699000,6,4,2223,Bronx
House for sale,749000,3,2,1600,Bronx
House for sale,5900000,7,8,10100,Bronx
Condo for sale,249000,2,1,815,Bronx
Multi-family home for sale,1999000,6,4,3850,Bronx
Multi-family home for sale,350000,3,2,2184,Bronx
House for sale,7500000,6,2,2184,Bronx
House for sale,550000,2,2,995,Bronx
Multi-family home for sale,1699000,9,5,5500,Bronx
Pending,1149000,7,4,3617,Bronx
Multi-family home for sale,699000,8,5,2300,Bronx
Multi-family home for sale,1050000,7,4,3280,Bronx
House for sale,270000,4,2,2000,Bronx
House for sale,270000,4,2,2000,Bronx
Multi-family home for sale,889000,6,2,2280,Bronx
House for sale,2750000,4,2,2184,Bronx
Multi-family home for sale,989000,8,5,3960,Bronx
Multi-family home for sale,1099999,4,2,2185,Bronx
Pending,485000,6,3,2184,Bronx
Condo for sale,319000,2,2,1102,Bronx
Multi-family home for sale,999000,9,3,3168,Bronx
House for sale,395000,2,2,1089,Bronx
House for sale,1250000,4,2,2273,Bronx
Multi-family home for sale,795000,3,4,1171,Bronx
House for sale,1350000,4,2,2948,Bronx
House for sale,1650000,5,4,2184,Bronx
Townhouse for sale,660000,3,2,1283,Bronx
House for sale,598000,3,2,1144,Bronx
House for sale,598000,3,2,1144,Bronx
Condo for sale,200000,1,2,637,Bronx
House for sale,725000,3,2,2410,Bronx
Co-op for sale,279000,3,1,1400,Bronx
House for sale,499000,4,2,1752,Bronx
House for sale,450000,3,2,1122,Bronx
Co-op for sale,279000,2,2,1050,Bronx
House for sale,549000,3,2,1250,Bronx
House for sale,4900000,8,2,9000,Bronx
Multi-family home for sale,600000,4,2,1728,Bronx
Multi-family home for sale,1299000,9,4,3720,Bronx
Multi-family home for sale,980000,4,4,3068,Bronx
Co-op for sale,259000,2,1,950,Bronx
House for sale,3400000,6,6,6290,Bronx
Autre_Type,250000,3,2,2184,Bronx
Autre_Type,250000,3,2,2184,Bronx
House for sale,3400000,6,6,6290,Bronx
House for sale,749000,3,2,2184,Bronx
Co-op for sale,339000,2,2,906,Bronx
Multi-family home for sale,1250000,9,3,3234,Bronx
Pending,1780000,4,3,2184,Bronx
House for sale,968000,4,2,2550,Bronx
Multi-family home for sale,1430000,6,4,2840,Bronx
House for sale,675000,4,3,1832,Bronx
House for sale,699999,5,2,2218,Bronx
Multi-family home for sale,849000,8,3,4428,Bronx
House for sale,150000,3,2,2184,Bronx
Condo for sale,215000,2,1,789,Bronx
Condo for sale,215000,2,1,789,Bronx
Multi-family home for sale,14000000,3,2,2184,Bronx
Multi-family home for sale,785000,7,3,3388,Bronx
Pending,875000,6,2,2340,Bronx
Multi-family home for sale,1215000,13,7,5250,Bronx
House for sale,475000,5,2,1790,Bronx
House for sale,1249000,3,4,2400,Bronx
Multi-family home for sale,875000,4,2,2034,Bronx
Multi-family home for sale,949000,7,3,2745,Bronx
Townhouse for sale,1299000,11,8,4560,Bronx
Multi-family home for sale,1279000,16,8,3550,Bronx
Townhouse for sale,900000,4,3,2184,Bronx
House for sale,590000,3,1,1360,Bronx
Multi-family home for sale,1300000,14,6,5103,Bronx
House for sale,270000,3,2,1158,Bronx
House for sale,765000,3,2,2500,Bronx
Multi-family home for sale,805000,6,2,2042,Bronx
House for sale,459999,1,1,640,Bronx
Multi-family home for sale,900000,5,3,2487,Bronx
Multi-family home for sale,2300000,3,2,21000,Bronx
House for sale,599000,3,2,1052,Bronx
House for sale,3999500,3,2,2184,Bronx
Multi-family home for sale,1080000,8,5,2184,Bronx
House for sale,554900,3,2,1890,Bronx
House for sale,1050000,3,2,1870,Bronx
House for sale,620000,3,2,1400,Bronx
Co-op for sale,339000,2,1,822,Bronx
Multi-family home for sale,949000,7,6,3733,Bronx
House for sale,499000,2,2,1146,Bronx
House for sale,399888,3,4,1613,Bronx
Multi-family home for sale,999000,5,4,1980,Bronx
House for sale,450000,4,3,2184,Bronx
Multi-family home for sale,850000,6,3,2230,Bronx
House for sale,699000,3,3,2184,Bronx
Multi-family home for sale,685000,4,2,2000,Bronx
Multi-family home for sale,885000,6,5,2680,Bronx
Multi-family home for sale,775000,5,2,1600,Bronx
Multi-family home for sale,775000,5,2,1600,Bronx
House for sale,509000,3,1,1100,Bronx
Multi-family home for sale,1499000,8,3,3300,Bronx
Multi-family home for sale,1900000,3,2,3500,Bronx
Multi-family home for sale,989000,8,5,3252,Bronx
House for sale,520000,3,2,1705,Bronx
Multi-family home for sale,799000,6,4,2310,Bronx
House for sale,648998,3,2,1296,Bronx
House for sale,687000,2,1,2184,Bronx
Multi-family home for sale,825000,5,3,2184,Bronx
Co-op for sale,185000,1,1,850,Bronx
Multi-family home for sale,965000,5,3,3520,Bronx
Multi-family home for sale,750000,4,2,2340,Bronx
Multi-family home for sale,850000,3,2,2194,Bronx
Townhouse for sale,2495000,8,8,5374,Bronx
House for sale,475000,3,2,1280,Bronx
Multi-family home for sale,765000,4,2,1152,Bronx
Multi-family home for sale,859000,6,4,2820,Bronx
Multi-family home for sale,969999,6,4,2184,Bronx
Multi-family home for sale,990000,8,4,3120,Bronx
House for sale,449500,3,2,2184,Bronx
House for sale,629000,4,2,2184,Bronx
House for sale,640000,3,2,1224,Bronx
Multi-family home for sale,1100000,4,3,3664,Bronx
Multi-family home for sale,1100000,4,3,3664,Bronx
House for sale,625000,3,2,1944,Bronx
Multi-family home for sale,675000,3,2,1750,Bronx
House for sale,499000,5,2,1236,Bronx
Autre_Type,1400000,3,2,2184,Bronx
Multi-family home for sale,1125000,6,3,3354,Bronx
Multi-family home for sale,6950000,6,6,32000,Bronx
Multi-family home for sale,979000,5,2,2392,Bronx
Multi-family home for sale,1800000,11,5,3969,Bronx
House for sale,549990,3,2,1782,Bronx
Pending,249000,2,1,900,Bronx
Multi-family home for sale,1400000,6,2,1600,Bronx
Multi-family home for sale,1249999,6,3,3491,Bronx
Multi-family home for sale,875000,3,2,1688,Bronx
House for sale,3250000,8,4,2184,Bronx
Multi-family home for sale,920000,5,3,2640,Bronx
Multi-family home for sale,1200000,7,4,3240,Bronx
House for sale,999900,8,3,2184,Bronx
Multi-family home for sale,829000,9,3,2276,Bronx
House for sale,699999,3,2,2184,Bronx
Multi-family home for sale,915000,6,5,3096,Bronx
House for sale,485000,2,2,816,Bronx
Multi-family home for sale,980000,11,3,3210,Bronx
House for sale,710000,2,2,2250,Bronx
House for sale,570000,3,2,1728,Bronx
Multi-family home for sale,975000,7,4,1920,Bronx
House for sale,599900,3,2,1534,Bronx
Multi-family home for sale,500000,3,2,2184,Bronx
House for sale,599000,3,2,1690,Bronx
Pending,1595000,4,2,2627,Bronx
Multi-family home for sale,919000,6,3,1760,Bronx
Pending,1595000,4,2,2627,Bronx
Multi-family home for sale,859000,6,3,2184,Bronx
House for sale,995000,4,3,2000,Bronx
House for sale,699000,3,2,2040,Bronx
House for sale,735000,3,2,2350,Bronx
House for sale,599000,4,2,1665,Bronx
Condo for sale,510000,2,2,972,Bronx
House for sale,1150000,3,2,1352,Bronx
House for sale,775000,3,1,1696,Bronx
Multi-family home for sale,1180000,8,4,3321,Bronx
Multi-family home for sale,790000,4,3,1784,Bronx
Multi-family home for sale,775000,6,2,2910,Bronx
House for sale,699000,5,4,1838,Bronx
Multi-family home for sale,775000,6,2,2910,Bronx
Multi-family home for sale,675999,3,2,2070,Bronx
House for sale,1500000,8,5,2184,Bronx
Multi-family home for sale,779000,3,2,1557,Bronx
Multi-family home for sale,1200000,6,4,2808,Bronx
Multi-family home for sale,850000,5,3,3024,Bronx
House for sale,575000,3,1,1390,Bronx
Multi-family home for sale,915000,8,3,1896,Bronx
House for sale,950000,3,2,1308,Bronx
House for sale,715000,4,2,1866,Bronx
Multi-family home for sale,750000,5,3,3327,Bronx
Multi-family home for sale,1100000,8,3,3312,Bronx
Multi-family home for sale,680000,3,2,2375,Bronx
Multi-family home for sale,900000,8,5,2028,Bronx
Multi-family home for sale,854000,6,2,2184,Bronx
Multi-family home for sale,854000,6,2,2184,Bronx
Autre_Type,1002500,3,2,2184,Bronx
Multi-family home for sale,1799000,7,2,4140,Bronx
Townhouse for sale,615000,3,2,1664,Bronx
Multi-family home for sale,1350000,9,3,3318,Bronx
Townhouse for sale,1500000,14,7,6375,Bronx
House for sale,629000,3,2,1575,Bronx
Townhouse for sale,1500000,14,7,6375,Bronx
Townhouse for sale,1100000,9,3,3944,Bronx
House for sale,1390000,3,2,1276,Bronx
Multi-family home for sale,1215000,13,7,5250,Bronx
Multi-family home for sale,950000,9,7,3316,Bronx
House for sale,650000,5,2,1951,Bronx
Multi-family home for sale,1375000,8,3,3039,Bronx
House for sale,749999,9,3,2184,Bronx
House for sale,599999,2,2,1048,Bronx
House for sale,849000,3,2,1890,Bronx
House for sale,489000,7,3,2500,Bronx
Multi-family home for sale,890000,6,5,2184,Bronx
House for sale,840000,3,2,1675,Bronx
Multi-family home for sale,890000,6,5,2184,Bronx
House for sale,499998,3,3,2184,Bronx
House for sale,589000,3,2,1785,Bronx
Multi-family home for sale,999000,8,3,3786,Bronx
House for sale,499000,2,1,992,Bronx
House for sale,1000000,8,3,2184,Bronx
Multi-family home for sale,1700000,3,2,2484,Bronx
House for sale,700000,4,2,1890,Bronx
Multi-family home for sale,715000,4,2,2052,Bronx
Multi-family home for sale,1025000,7,2,2400,Bronx
Multi-family home for sale,4195000,6,17,12733,Bronx
House for sale,634999,4,2,1732,Bronx
Multi-family home for sale,600000,6,2,1634,Bronx
Multi-family home for sale,1080000,5,2,2570,Bronx
Multi-family home for sale,699000,5,2,2090,Bronx
Co-op for sale,275000,2,1,815,Bronx
Multi-family home for sale,799000,6,2,2000,Bronx
Co-op for sale,440000,2,1,978,Brooklyn
Co-op for sale,199000,3,1,325,Brooklyn
Co-op for sale,279000,1,1,750,Brooklyn
Condo for sale,528000,1,1,602,Brooklyn
Condo for sale,1165000,1,1,815,Brooklyn
Condo for sale,1650000,2,2,1267,Brooklyn
Autre_Type,3150000,3,2,1952,Brooklyn
Co-op for sale,559500,1,1,800,Brooklyn
Condo for sale,1250000,2,2,1201,Brooklyn
Condo for sale,1395000,2,2,1182,Brooklyn
Condo for sale,1175000,2,2,1115,Brooklyn
Co-op for sale,539000,2,2,1100,Brooklyn
Co-op for sale,280000,1,1,1000,Brooklyn
Condo for sale,250000,3,1,2184,Brooklyn
Co-op for sale,1895000,2,2,2184,Brooklyn
Condo for sale,725000,2,2,792,Brooklyn
Co-op for sale,498000,2,1,975,Brooklyn
Co-op for sale,288000,1,1,845,Brooklyn
Co-op for sale,295000,2,1,700,Brooklyn
Co-op for sale,849000,2,1,800,Brooklyn
Co-op for sale,849000,2,1,800,Brooklyn
Co-op for sale,418888,2,1,900,Brooklyn
Co-op for sale,370000,1,1,2184,Brooklyn
Co-op for sale,259000,1,1,750,Brooklyn
Condo for sale,99000,1,1,2184,Brooklyn
Co-op for sale,535000,1,1,750,Brooklyn
Condo for sale,289000,1,1,666,Brooklyn
Condo for sale,699000,1,1,616,Brooklyn
Condo for sale,1355000,2,2,1002,Brooklyn
Condo for sale,1225000,2,2,882,Brooklyn
Co-op for sale,599000,3,1,1200,Brooklyn
Condo for sale,965000,3,1,540,Brooklyn
Condo for sale,485000,3,2,2184,Brooklyn
Co-op for sale,215000,3,1,1100,Brooklyn
Co-op for sale,565000,1,1,2184,Brooklyn
Co-op for sale,350000,2,1,825,Brooklyn
Pending,529900,1,1,630,Brooklyn
Co-op for sale,219000,3,1,1050,Brooklyn
Pending,1695000,2,2,1572,Brooklyn
Co-op for sale,410000,1,1,2184,Brooklyn
Co-op for sale,299000,3,1,2184,Brooklyn
Co-op for sale,185000,1,1,2184,Brooklyn
Co-op for sale,250000,2,1,950,Brooklyn
Condo for sale,355000,1,1,514,Brooklyn
Pending,990000,2,2,960,Brooklyn
Pending,679000,3,2,1474,Brooklyn
House for sale,850000,6,3,2280,Brooklyn
Co-op for sale,825000,2,1,800,Brooklyn
Condo for sale,629000,3,2,1360,Brooklyn
Co-op for sale,675000,2,2,1200,Brooklyn
Condo for sale,720000,3,2,1046,Brooklyn
Condo for sale,499999,3,1,701,Brooklyn
Co-op for sale,350000,2,1,2184,Brooklyn
Co-op for sale,350000,2,1,2184,Brooklyn
Townhouse for sale,4250000,3,4,3376,Brooklyn
Condo for sale,2099000,3,2,1711,Brooklyn
Co-op for sale,575000,3,2,1480,Brooklyn
Co-op for sale,379000,2,2,1160,Brooklyn
Pending,1495000,1,1,814,Brooklyn
Co-op for sale,619000,2,2,1200,Brooklyn
Co-op for sale,300000,3,1,1200,Brooklyn
Co-op for sale,265000,2,1,1100,Brooklyn
Co-op for sale,329000,1,1,750,Brooklyn
Condo for sale,275000,1,1,850,Brooklyn
Condo for sale,568000,2,1,550,Brooklyn
Condo for sale,568000,2,1,550,Brooklyn
Co-op for sale,169000,1,1,680,Brooklyn
Condo for sale,2700000,3,3,1398,Brooklyn
Co-op for sale,255000,1,1,750,Brooklyn
Pending,172800,1,1,750,Brooklyn
Condo for sale,1300000,2,2,1100,Brooklyn
Co-op for sale,257000,3,1,450,Brooklyn
Condo for sale,789000,2,2,1230,Brooklyn
Pending,599999,2,2,2184,Brooklyn
Co-op for sale,315000,2,1,850,Brooklyn
Co-op for sale,659000,1,1,440,Brooklyn
Co-op for sale,680000,1,1,2184,Brooklyn
Co-op for sale,258888,1,1,650,Brooklyn
Condo for sale,599000,2,2,1095,Brooklyn
Co-op for sale,699999,3,2,2184,Brooklyn
Co-op for sale,270000,1,1,2184,Brooklyn
Condo for sale,979000,3,2,1272,Brooklyn
Co-op for sale,245000,2,1,900,Brooklyn
Condo for sale,558000,1,1,751,Brooklyn
Co-op for sale,220000,1,1,500,Brooklyn
Co-op for sale,399000,2,2,1050,Brooklyn
Condo for sale,354900,2,1,673,Brooklyn
Condo for sale,624999,3,2,2184,Brooklyn
Condo for sale,785000,2,2,968,Brooklyn
Condo for sale,1700000,2,2,1580,Brooklyn
Co-op for sale,339000,1,1,1085,Brooklyn
Pending,349750,1,1,2184,Brooklyn
Co-op for sale,175000,3,1,2184,Brooklyn
Co-op for sale,285000,1,1,750,Brooklyn
Condo for sale,725000,3,2,1185,Brooklyn
Condo for sale,849000,3,2,1241,Brooklyn
Co-op for sale,650000,3,1,2184,Brooklyn
Co-op for sale,174000,1,1,800,Brooklyn
Co-op for sale,1295000,2,2,2100,Brooklyn
Co-op for sale,209900,1,1,780,Brooklyn
Co-op for sale,539000,1,1,2184,Brooklyn
Co-op for sale,899000,2,2,1300,Brooklyn
Pending,395000,3,2,381,Brooklyn
Pending,395000,3,2,381,Brooklyn
Co-op for sale,335000,1,1,756,Brooklyn
Condo for sale,1495000,2,2,1098,Brooklyn
Pending,299999,2,1,650,Brooklyn
Co-op for sale,549000,3,1,1200,Brooklyn
Condo for sale,9500000,4,4,3655,Brooklyn
Condo for sale,1100000,2,1,807,Brooklyn
Condo for sale,850000,1,1,626,Brooklyn
Co-op for sale,1895000,3,2,2184,Brooklyn
Condo for sale,1695000,2,2,1117,Brooklyn
Co-op for sale,385000,2,1,2184,Brooklyn
Co-op for sale,249999,2,1,750,Brooklyn
Co-op for sale,311000,1,1,780,Brooklyn
Condo for sale,649000,3,2,804,Brooklyn
Co-op for sale,305000,1,1,750,Brooklyn
Condo for sale,369000,3,1,2184,Brooklyn
Co-op for sale,299000,1,1,750,Brooklyn
Co-op for sale,699000,2,1,1100,Brooklyn
Co-op for sale,270000,3,1,275,Brooklyn
Co-op for sale,595000,3,2,2184,Brooklyn
Condo for sale,1475000,2,2,1048,Brooklyn
Condo for sale,14995000,6,2,8500,Brooklyn
Condo for sale,695000,2,2,845,Brooklyn
Condo for sale,699000,3,2,1779,Brooklyn
Condo for sale,199999,1,1,750,Brooklyn
Condo for sale,7995000,3,4,2789,Brooklyn
Condo for sale,480000,1,1,506,Brooklyn
House for sale,1759000,3,2,2100,Brooklyn
Co-op for sale,499000,2,1,2184,Brooklyn
Co-op for sale,1099000,2,1,2184,Brooklyn
Condo for sale,275000,2,2,969,Brooklyn
Pending,695000,2,2,1200,Brooklyn
Pending,464998,2,2,1657,Brooklyn
Pending,464998,2,2,1657,Brooklyn
Co-op for sale,319999,1,1,660,Brooklyn
Condo for sale,999000,3,2,1301,Brooklyn
Pending,400000,2,1,2184,Brooklyn
Co-op for sale,289000,1,1,750,Brooklyn
Co-op for sale,260000,1,1,800,Brooklyn
Condo for sale,297000,3,1,600,Brooklyn
Co-op for sale,475000,2,2,1150,Brooklyn
Co-op for sale,209000,1,1,2184,Brooklyn
Co-op for sale,259000,1,1,625,Brooklyn
Co-op for sale,188000,3,1,300,Brooklyn
Condo for sale,875000,2,2,1050,Brooklyn
Co-op for sale,525000,2,1,1300,Brooklyn
Condo for sale,715000,2,2,1021,Brooklyn
Co-op for sale,589000,2,2,1100,Brooklyn
Co-op for sale,239000,3,1,450,Brooklyn
Townhouse for sale,1895000,5,4,2400,Brooklyn
Co-op for sale,525000,2,1,1000,Brooklyn
Condo for sale,750000,1,1,943,Brooklyn
Co-op for sale,175000,1,1,800,Brooklyn
Co-op for sale,685000,1,1,2184,Brooklyn
Condo for sale,559000,1,1,830,Brooklyn
Co-op for sale,379000,2,1,1000,Brooklyn
Co-op for sale,599000,2,2,1200,Brooklyn
Multi-family home for sale,875000,9,6,5712,Brooklyn
Condo for sale,1530000,2,2,1229,Brooklyn
Condo for sale,399000,1,1,561,Brooklyn
Co-op for sale,565000,2,1,2184,Brooklyn
Co-op for sale,1200000,2,2,1100,Brooklyn
Co-op for sale,219000,3,1,550,Brooklyn
Co-op for sale,279999,1,1,790,Brooklyn
Condo for sale,980000,3,3,1574,Brooklyn
Multi-family home for sale,1299999,7,5,2184,Brooklyn
Condo for sale,950000,3,2,1401,Brooklyn
Condo for sale,1390000,4,3,1950,Brooklyn
Condo for sale,690000,2,2,942,Brooklyn
Co-op for sale,185000,2,1,854,Brooklyn
Co-op for sale,475000,1,1,750,Brooklyn
Co-op for sale,325000,3,1,1200,Brooklyn
Condo for sale,1595000,3,2,1375,Brooklyn
Co-op for sale,349000,2,1,800,Brooklyn
Condo for sale,370000,3,1,462,Brooklyn
Co-op for sale,239000,1,1,700,Brooklyn
Condo for sale,1439000,4,2,1625,Brooklyn
Condo for sale,1439000,4,2,1625,Brooklyn
Condo for sale,450000,1,1,724,Brooklyn
Condo for sale,2099000,2,2,1447,Brooklyn
Multi-family home for sale,1999999,12,6,2184,Brooklyn
Condo for sale,1250000,3,2,1287,Brooklyn
Co-op for sale,499000,2,1,900,Brooklyn
Condo for sale,625000,4,2,1268,Brooklyn
Co-op for sale,1495000,3,1,2184,Brooklyn
Condo for sale,625000,4,2,1268,Brooklyn
Co-op for sale,279000,1,1,600,Brooklyn
Condo for sale,560000,3,1,622,Brooklyn
Condo for sale,735000,2,2,832,Brooklyn
Multi-family home for sale,1399000,13,5,2184,Brooklyn
Condo for sale,618000,3,2,2184,Brooklyn
Co-op for sale,459000,1,1,2184,Brooklyn
Condo for sale,745000,2,2,2184,Brooklyn
Co-op for sale,189900,1,1,600,Brooklyn
Co-op for sale,229000,1,1,650,Brooklyn
Co-op for sale,850000,2,2,2184,Brooklyn
Condo for sale,499000,2,1,825,Brooklyn
Condo for sale,539000,2,2,821,Brooklyn
Condo for sale,2550000,3,2,2400,Brooklyn
Co-op for sale,370000,2,1,800,Brooklyn
Co-op for sale,289000,1,1,520,Brooklyn
Condo for sale,340000,1,1,850,Brooklyn
Co-op for sale,199999,1,1,550,Brooklyn
Co-op for sale,799000,2,2,1043,Brooklyn
Co-op for sale,564900,1,1,769,Brooklyn
Co-op for sale,279999,2,1,666,Brooklyn
Co-op for sale,258000,1,1,650,Brooklyn
Multi-family home for sale,2700000,24,24,18936,Brooklyn
Co-op for sale,285000,1,1,900,Brooklyn
Condo for sale,995000,2,2,1030,Brooklyn
Co-op for sale,229000,1,1,2184,Brooklyn
Pending,1895000,3,2,1230,Brooklyn
Condo for sale,450000,3,1,494,Brooklyn
Pending,1895000,3,2,1230,Brooklyn
Pending,560000,2,1,2184,Brooklyn
Condo for sale,499000,1,1,845,Brooklyn
Co-op for sale,213000,3,1,430,Brooklyn
Co-op for sale,1150000,1,1,984,Brooklyn
Co-op for sale,489000,2,1,950,Brooklyn
Co-op for sale,398000,2,1,900,Brooklyn
Condo for sale,1325000,3,2,1597,Brooklyn
Townhouse for sale,595000,1,2,846,Brooklyn
Co-op for sale,425000,2,1,2184,Brooklyn
Condo for sale,569000,1,1,739,Brooklyn
Co-op for sale,300000,3,1,600,Brooklyn
Co-op for sale,289000,3,1,2184,Brooklyn
Co-op for sale,475000,1,1,2184,Brooklyn
Condo for sale,595000,3,1,915,Brooklyn
Pending,435000,1,1,2184,Brooklyn
Co-op for sale,250000,1,1,800,Brooklyn
Co-op for sale,350000,3,2,1100,Brooklyn
Pending,1395000,2,2,1028,Brooklyn
Townhouse for sale,600000,3,1,2184,Brooklyn
Co-op for sale,329000,1,1,764,Brooklyn
Condo for sale,1999999,3,3,1800,Brooklyn
Co-op for sale,995000,1,1,2184,Brooklyn
Co-op for sale,269000,1,1,625,Brooklyn
Co-op for sale,239000,1,1,700,Brooklyn
Condo for sale,948888,2,2,950,Brooklyn
Condo for sale,750000,1,1,654,Brooklyn
Condo for sale,5925000,3,4,2539,Brooklyn
Condo for sale,5925000,3,4,2539,Brooklyn
Co-op for sale,750000,1,1,2184,Brooklyn
Co-op for sale,199000,3,1,650,Brooklyn
Co-op for sale,265000,3,1,650,Brooklyn
Contingent,960000,1,1,834,Brooklyn
Co-op for sale,250000,1,1,750,Brooklyn
Pending,499000,2,2,1358,Brooklyn
Co-op for sale,1100000,2,1,2184,Brooklyn
Condo for sale,550000,3,2,2184,Brooklyn
Condo for sale,1899000,3,2,1900,Brooklyn
Co-op for sale,155000,3,1,2184,Brooklyn
Co-op for sale,795000,2,1,2184,Brooklyn
Co-op for sale,300000,2,1,800,Brooklyn
Condo for sale,425000,1,1,603,Brooklyn
Co-op for sale,349000,1,1,652,Brooklyn
Condo for sale,425000,1,1,603,Brooklyn
Condo for sale,1465000,2,1,1107,Brooklyn
Condo for sale,269000,3,1,485,Brooklyn
Co-op for sale,1150000,2,1,900,Brooklyn
Condo for sale,799000,5,2,1500,Brooklyn
Co-op for sale,385000,1,1,779,Brooklyn
Condo for sale,539000,2,1,708,Brooklyn
Condo for sale,898000,1,2,1340,Brooklyn
Condo for sale,594900,2,1,729,Brooklyn
Contingent,275000,3,1,363,Brooklyn
Co-op for sale,500000,3,2,2184,Brooklyn
Condo for sale,1249000,2,2,2158,Brooklyn
Co-op for sale,399000,1,1,750,Brooklyn
Condo for sale,888000,2,2,1146,Brooklyn
Co-op for sale,259000,2,1,2184,Brooklyn
Co-op for sale,399999,2,1,2184,Brooklyn
Condo for sale,10800000,5,6,4544,Brooklyn
Condo for sale,599999,2,1,932,Brooklyn
Co-op for sale,549995,3,1,2184,Brooklyn
Co-op for sale,288000,1,1,800,Brooklyn
Co-op for sale,380000,2,1,850,Brooklyn
Condo for sale,899000,1,2,1151,Brooklyn
Condo for sale,625000,3,1,458,Brooklyn
Co-op for sale,419000,2,1,1000,Brooklyn
Co-op for sale,448000,1,1,750,Brooklyn
Condo for sale,225000,3,1,2184,Brooklyn
Co-op for sale,720000,1,1,2184,Brooklyn
Condo for sale,2250000,3,2,2184,Brooklyn
Condo for sale,1355000,3,2,2184,Brooklyn
Condo for sale,489000,2,2,1100,Brooklyn
